Name,ShopIconExportName,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,TileWidth,TileHeight,Price,DiamondPrice,Vouchers,VoucherCount,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,AttractsButterflies,BirdsLand,SpawnsBirds,SpawnsFrogs,TapSound,CanBuy,SpinWheelPrize,BuyExp,Theme,TagSpecial,TagNature,TagDeco,HideFromLevelUpScreen
String,String,int,int,int,String,String,int,int,int,int,String,int,int,int,String,String,String,Boolean,Boolean,Boolean,Boolean,String,Boolean,Boolean,int,String,Boolean,Boolean,Boolean,Boolean
Flowerpot,shop_icon_flowerpot_1,8,0,,sc/decos.sc,flowerpot_1,1,1,24,,,,5,1,TID_FLOWERPOT_1_DESCRIPTION,TID_FLOWERPOT_1,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,3,,,TRUE,,
Flowerbed_1,shop_icon_flowerbed_1,9,0,,sc/decos.sc,flowerbed_1x1_1,1,1,49,,,,10,1,TID_FLOWERBED_1_DESCRIPTION,TID_FLOWERBED_1,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,5,,,TRUE,,
Flowerbed_2,shop_icon_flowerbed_2,14,0,,sc/decos.sc,flowerbed_1x1_2,1,1,69,,,,10,1,TID_FLOWERBED_2_DESCRIPTION,TID_FLOWERBED_2,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,7,,,TRUE,,
Barrel_1,shop_icon_barrel_1,8,0,,sc/decos.sc,barrel_1,1,1,99,,,,50,1,TID_BARREL_1_DESCRIPTION,TID_BARREL_1,Buy,,,,,TapDecorationGeneric,TRUE,,10,,,,TRUE,
Barrel_2,shop_icon_barrel_2,17,0,,sc/decos.sc,barrel_2,1,1,200,,,,100,1,TID_BARREL_2_DESCRIPTION,TID_BARREL_2,Buy,,,,,TapDecorationGeneric,TRUE,,15,,,,TRUE,
Birdhouse_1,shop_icon_birdhouse_1,13,0,,sc/decos.sc,birdhouse_1,1,1,349,,,,150,1,TID_BIRDHOUSE_1_DESCRIPTION,TID_BIRDHOUSE_1,Buy,,TRUE,TRUE,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
Gazebo_1,shop_icon_gazebo_1,19,0,,sc/decos.sc,gazebo_1,2,2,2500,,,,500,1,TID_GAZEBO_1_DESCRIPTION,TID_GAZEBO_1,Buy,,,,,TapDecorationGeneric,TRUE,,50,,,,TRUE,
Lantern,shop_icon_lantern,12,0,,sc/decos.sc,lantern,1,1,175,,,,50,1,TID_LANTERN_DESCRIPTION,TID_LANTERN,Buy,,,,,TapDecorationGeneric,TRUE,,12,,,,TRUE,
Haycart,shop_icon_haycart,15,0,,sc/decos.sc,haycart,1,1,300,,,,100,1,TID_HAYCART_DESCRIPTION,TID_HAYCART,Buy,,,,,TapDecorationGeneric,TRUE,,20,,,,TRUE,
Haybale_1,shop_icon_haybale_1,9,0,,sc/decos.sc,haybale_1,1,1,250,,,,75,1,TID_HAYBALE_1_DESCRIPTION,TID_HAYBALE_1,Buy,,,,,TapDecorationGeneric,TRUE,,18,,,,TRUE,
Wheebarrow,shop_icon_wheelbarrow,12,0,,sc/decos.sc,wheelbarrow,1,1,,16,,,,,TID_WHEELBARROW_DESCRIPTION,TID_WHEELBARROW,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,48,,,,TRUE,
Birdhouse_2,shop_icon_birdhouse_2,9,0,,sc/decos.sc,birdhouse_2,1,1,,5,,,,,TID_BIRDHOUSE_2_DESCRIPTION,TID_BIRDHOUSE_2,Buy,,TRUE,TRUE,,TapDecorationGeneric,TRUE,,15,,,,TRUE,
Gazebo_2,shop_icon_gazebo_2,19,0,,sc/decos.sc,gazebo_2,2,2,,30,,,,,TID_GAZEBO_2_DESCRIPTION,TID_GAZEBO_2,Buy,,,,,TapDecorationGeneric,TRUE,,90,,,,TRUE,
Haybale_2,shop_icon_haybale_2,18,0,,sc/decos.sc,haybale_2,2,1,,8,,,,,TID_HAYBALE_2_DESCRIPTION,TID_HAYBALE_2,Buy,,,,,TapDecorationGeneric,TRUE,,24,,,,TRUE,
Flowerpot_2,shop_icon_flowerpot_2,16,0,,sc/decos.sc,flowerpot_2,1,1,39,,,,5,1,TID_YELLOWFLOWERS_DESCRIPTION,TID_YELLOWFLOWERS,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,4,,,TRUE,,
Bench_1,shop_icon_bench_1,20,0,,sc/decos.sc,bench_01,2,1,350,,,,50,1,TID_WOODENBENCH_DESCRIPTION,TID_WOODENBENCH,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
Bench_2,shop_icon_bench_2,23,0,,sc/decos.sc,bench_02,2,1,,20,,,,,TID_WHITEBENCH_DESCRIPTION,TID_WHITEBENCH,Buy,,,,,TapDecorationGeneric,TRUE,,60,,,,TRUE,
Pond_1,shop_icon_pond_1,22,0,,sc/decos.sc,pond_01,2,2,2500,,,,500,1,TID_SMALLPOND_DESCRIPTION,TID_SMALLPOND,Buy,,,,TRUE,TapDecorationWater,TRUE,,50,,,TRUE,,
Pond_2,shop_icon_pond_2,22,0,,sc/decos.sc,pond_02,3,3,,,Voucher1,3,,,TID_LARGEPOND_DESCRIPTION,TID_LARGEPOND,Buy,,,,TRUE,TapDecorationWater,TRUE,,100,,,TRUE,,
Waterwell,shop_icon_well,27,0,,sc/decos.sc,well,1,1,,,Voucher1,2,,,TID_WATERWELL_DESCRIPTION,TID_WATERWELL,Buy,,,,,TapDecorationGeneric,TRUE,,100,,,,TRUE,
,,,,,,,,,,,Voucher2,1,,,,,,,,,,,,,,,,,,
Outhouse,shop_icon_outhouse,28,0,,sc/decos.sc,outhouse,1,1,400,,,,50,1,TID_OUTHOUSE_DESCRIPTION,TID_OUTHOUSE,Buy,,,,,TapDecorationGeneric,TRUE,,30,,,,TRUE,
Swingset,shop_icon_swing_01,33,0,,sc/decos.sc,swing_01,2,1,,,Voucher4,2,,,TID_SWINGSET_DESCRIPTION,TID_SWINGSET,Buy,,,,,TapDecorationGeneric,TRUE,,150,,,,TRUE,
Bonfire,shop_icon_bonfire,31,0,,sc/decos.sc,bonfire,1,1,1000,,,,75,1,TID_BONFIRE_DESCRIPTION,TID_BONFIRE,Buy,,,,,TapDecorationGeneric,TRUE,,40,,,,TRUE,
Fountain,shop_icon_fountain,36,0,,sc/decos.sc,fountain,1,1,,,Voucher2,2,,,TID_FOUNTAIN_DESCRIPTION,TID_FOUNTAIN,Buy,,,,,TapDecorationWater,TRUE,,150,,,,TRUE,
,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,
Woodpile,shop_icon_woodpile,14,0,,sc/decos.sc,woodpile,1,1,19,,,,5,1,TID_WOODPILE_DESCRIPTION,TID_WOODPILE,Buy,,,,,TapDecorationGeneric,TRUE,,2,,,,TRUE,
Flowerlog,shop_icon_flowerlog,13,0,,sc/decos.sc,flowerlog,1,1,99,,,,5,1,TID_FLOWERLOG_DESCRIPTION,TID_FLOWERLOG,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,10,,,,TRUE,
HolidayTree,shop_icon_holiday_tree,1,0,,sc/decos.sc,holiday_tree,1,1,,30,,,,,TID_HOLIDAYTREE_DESCRIPTION,TID_HOLIDAYTREE,Buy,,TRUE,,,TapDecorationXmas,TRUE,,50,Christmas2014,TRUE,,,
Gifts,shop_icon_gifts,1,0,,sc/decos.sc,gifts,1,1,2500,,,,500,1,TID_GIFTS_DESCRIPTION,TID_GIFTS,Buy,,,,,TapDecorationXmas,TRUE,,18,Christmas2014,TRUE,,,
ToySoldier,shop_icon_toy_soldier,1,0,,sc/decos.sc,toy_soldier,1,1,,2,,,,,TID_TOYSOLDIER_DESCRIPTION,TID_TOYSOLDIER,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas2014,TRUE,,,
CandyPole,shop_icon_candy_pole,1,0,,sc/decos.sc,candy_pole,1,1,1000,,,,200,1,TID_CANDYPOLE_DESCRIPTION,TID_CANDYPOLE,Buy,,,,,TapDecorationXmas,TRUE,,9,Christmas2014,TRUE,,,
HolidayFlower,shop_icon_holiday_flowers,1,0,,sc/decos.sc,holiday_flowers,1,1,300,,,,100,1,TID_HOLIDAYFLOWER_DESCRIPTION,TID_HOLIDAYFLOWER,Buy,,,,,TapDecorationXmas,TRUE,,15,Christmas2014,TRUE,,,
Snowman,shop_icon_snowman,1,0,,sc/decos.sc,snowman,1,1,,25,,,,,TID_SNOWMAN_DESCRIPTION,TID_SNOWMAN,Buy,,,,,TapDecorationXmas,TRUE,,30,Christmas2014,TRUE,,,
FrozenPond_1,shop_icon_frozen_pond_01,1,0,,sc/decos.sc,frozen_pond_01,2,2,,10,,,,,TID_FROZENPOND_1_DESCRIPTION,TID_FROZENPOND_1,Buy,,,,,TapDecorationXmas,TRUE,,45,Christmas2014,TRUE,,,
FrozenPond_2,shop_icon_frozen_pond_02,1,0,,sc/decos.sc,frozen_pond_02,3,3,,14,,,,,TID_FROZENPOND_2_DESCRIPTION,TID_FROZENPOND_2,Buy,,,,,TapDecorationXmas,TRUE,,50,Christmas2014,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClassicTopiary,shop_icon_classic_topiary,17,0,,sc/decos.sc,classic_topiary,1,1,,5,,,,,TID_REGULAR_TOPIARY_DESCRIPTION,TID_REGULAR_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,90,,,TRUE,,
ConeTopiary,shop_icon_cone_topiary,17,0,,sc/decos.sc,cone_topiary,1,1,,8,,,,,TID_CONE_TOPIARY_DESCRIPTION,TID_CONE_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,95,,,TRUE,,
Bridge,shop_icon_bridge,28,0,,sc/decos.sc,bridge,3,4,,,Voucher1,45,,,TID_BRIDGE_DESCRIPTION,TID_BRIDGE,Buy,,,,,TapDecorationWater,TRUE,,100,,,,TRUE,
BirdBath,shop_icon_bird_bath,31,0,,sc/decos.sc,bird_bath,1,1,,,Voucher1,1,,,TID_BIRD_BATH_DESCRIPTION,TID_BIRD_BATH,Buy,,TRUE,TRUE,,TapDecorationWater,TRUE,,100,,,,TRUE,
,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,
Pool,shop_icon_swimmingpool,30,0,,sc/decos.sc,swimming_pool,2,3,,,Voucher2,2,,,TID_POOL_DESCRIPTION,TID_POOL,Buy,,,,,TapDecorationWater,TRUE,,150,,,,TRUE,
,,,,,,,,,,,Voucher4,2,,,,,,,,,,,,,,,,,,
PicnicTable,shop_icon_picnic_table,38,0,,sc/decos.sc,picnic_table,2,3,3500,,,,50,1,TID_PICNIC_TABLE_DESCRIPTION,TID_PICNIC_TABLE,Buy,,,,,TapDecorationGeneric,TRUE,,50,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LadyBug,shop_icon_ladybug,1,0,,sc/decos.sc,ladybug,1,1,,,,,,,TID_FLOWER_LADYBUG_DESCRIPTION,TID_FLOWER_LADYBUG,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
Butterfly,shop_icon_butterfly,1,0,,sc/decos.sc,butterfly,1,1,,,,,,,TID_FLOWER_BUTTERFLY_DESCRIPTION,TID_FLOWER_BUTTERFLY,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
Caterpillar,shop_icon_caterpillar,1,0,,sc/decos.sc,caterpillar,1,1,,,,,,,TID_CATERPILLAR_DESCRIPTION,TID_CATERPILLAR,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
GnomeFemale,shop_icon_gnome_female,1,0,,sc/decos.sc,gnome_female,1,1,,,,,,,TID_GNOME_FEMALE_DESCRIPTION,TID_GNOME_FEMALE,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
GnomeMale,shop_icon_gnome_male,1,0,,sc/decos.sc,gnome_male,1,1,,,,,,,TID_GNOME_MALE_DESCRIPTION,TID_GNOME_MALE,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
HeartTopiary,shop_icon_heart_topiary,1,0,,sc/decos.sc,heart_topiary,1,1,,,,,,,TID_HEART_TOPIARY_DESCRIPTION,TID_HEART_TOPIARY,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
