Name,Rewards,RewardAmounts,Probabilities
String,String,int,int
DerbyRewardSet1_18_rookie,Axe,1,6
,Saw,1,6
,Shovel,1,6
,Dynamite,1,6
,Demolition Charge,1,6
,Pickaxe,1,6
,Brown_Sugar,3,4
,White Sugar,3,4
,Vanilla Ice Cream,1,4
,Apple Jam,1,4
,Raspberry,5,4
,Cherry,5,4
,Blackberry,5,4
,Apple,5,4
,Honey,3,4
,Cream,3,4
,Butter,3,4
,Cheese,3,4
,Goat Cheese,3,4
DerbyRewardSet2_18_rookie,Axe,1,4
,Saw,1,4
,Shovel,1,4
,Dynamite,1,4
,Demolition Charge,1,4
,Pickaxe,1,4
,Land Deed,1,7
,Mallet,1,7
,Marker Stake,1,7
,White Sugar,3,2
,Syrup,3,2
,Cherry Popsicle,1,2
,Raspberry Jam,1,2
,Blackberry Jam,1,2
,Raspberry,5,2
,Cherry,5,2
,Blackberry,5,2
,Apple,5,2
,Honey,3,2
,Cream,3,2
,Butter,3,2
,Cheese,3,2
,Goat Cheese,3,2
DerbyRewardSet3_18_rookie,Axe,1,3
,Saw,1,3
,Shovel,1,3
,Dynamite,1,3
,Demolition Charge,1,3
,Pickaxe,1,3
,Plank,1,6
,Nail,1,6
,Bolt,1,6
,Screw,1,6
,Duct Tape,1,6
,Wood Panel,1,6
,Land Deed,1,6
,Mallet,1,6
,Marker Stake,1,6
,Hammer,1,2
,Hand Drill,1,2
,Paint Bucket,1,2
,Stone Block,1,2
,Brick,1,2
,Tar Bucket,1,2
,Map Piece,1,1
,Brown_Sugar,5,4
,White Sugar,5,4
,Syrup,5,4
,Strawberry Ice Cream,2,4
,Chocolate Ice Cream,2,4
,Blackberry Jam,2,4
,Cherry Jam,2,4
DerbyRewardSet4_18_rookie,Axe,2,4
,Saw,2,4
,Shovel,2,4
,Dynamite,2,4
,Demolition Charge,2,4
,Pickaxe,1,4
,Plank,1,6
,Nail,1,6
,Bolt,1,6
,Screw,1,6
,Duct Tape,1,6
,Wood Panel,1,6
,Land Deed,1,6
,Mallet,1,6
,Marker Stake,1,6
,Hammer,1,2
,Hand Drill,1,2
,Paint Bucket,1,2
,Stone Block,1,2
,Brick,1,2
,Tar Bucket,1,2
,Map Piece,1,1
,Voucher1,1,2
DerbyRewardSet5_18_rookie,FreeDiamonds,2,3
,Plank,1,6
,Nail,1,6
,Bolt,1,6
,Screw,1,6
,Duct Tape,1,6
,Wood Panel,1,6
,Land Deed,1,6
,Mallet,1,6
,Marker Stake,1,6
,Hammer,1,2
,Hand Drill,1,2
,Paint Bucket,1,2
,Stone Block,1,2
,Brick,1,2
,Tar Bucket,1,2
,Map Piece,1,1
,HayFence,1,1
,GrassFenceS,1,1
DerbyRewardSetBronze_18_rookie,Axe,3,2
,Saw,3,2
,Shovel,2,2
,Dynamite,2,2
,Demolition Charge,2,2
,Pickaxe,2,2
,Plank,2,4
,Nail,2,4
,Bolt,2,4
,Screw,2,4
,Duct Tape,2,4
,Wood Panel,2,4
,Land Deed,2,3
