Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,GiftCardPrice,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel
String,String,String,String,String,String,String,int,int,int,int,int,String,String,String,String,String,String,int,int
SmallPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_01,FreeDiamonds,Prize2,5,10,10,2,2,TreasureBox,TID_GIFT_S_TITLE,TID_GIFT_S_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,FrogKing,Prize1,1,15,,,,,,,,,,,
,,,,,Axe,,2,5,,,,,,,,,,,
,,,,,Saw,,2,5,,,,,,,,,,,
,,,,,Shovel,,2,5,,,,,,,,,,,
,,,,,Dynamite,,2,5,,,,,,,,,,,
,,,,,Demolition Charge,,2,5,,,,,,,,,,,
,,,,,Pickaxe,,2,5,,,,,,,,,,,
,,,,,Plank,,1,4,,,,,,,,,,,
,,,,,Nail,,1,4,,,,,,,,,,,
,,,,,Bolt,,1,4,,,,,,,,,,,
,,,,,Screw,,1,4,,,,,,,,,,,
,,,,,Duct Tape,,1,4,,,,,,,,,,,
,,,,,Wood Panel,,1,4,,,,,,,,,,,
,,,,,Land Deed,,1,4,,,,,,,,,,,
,,,,,Mallet,,1,4,,,,,,,,,,,
,,,,,Marker Stake,,1,4,,,,,,,,,,,
,,,,,Hammer,,1,1,,,,,,,,,,,
,,,,,Hand Drill,,1,1,,,,,,,,,,,
,,,,,Paint Bucket,,1,1,,,,,,,,,,,
,,,,,Stone Block,,1,1,,,,,,,,,,,
,,,,,Brick,,1,1,,,,,,,,,,,
,,,,,Tar Bucket,,1,1,,,,,,,,,,,
,,,,,Voucher1,,1,4,,,,,,,,,,,
,,,,,Voucher2,,1,4,,,,,,,,,,,
,,,,,Voucher3,,1,4,,,,,,,,,,,
,,,,,Voucher4,,1,4,,,,,,,,,,,
,,,,,Brown_Sugar,,3,1,,,,,,,,,,,
,,,,,White Sugar,,3,1,,,,,,,,,,,
,,,,,Syrup,,3,1,,,,,,,,,,,
,,,,,Chocolate,,3,1,,,,,,,,,,,
,,,,,Lollipop,,3,1,,,,,,,,,,,
,,,,,Jelly Beans,,3,1,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,3,1,,,,,,,,,,,
,,,,,Cherry Popsicle,,3,1,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,3,1,,,,,,,,,,,
,,,,,Chocolate Ice Cream,,3,1,,,,,,,,,,,
,,,,,Apple Jam,,3,1,,,,,,,,,,,
,,,,,Raspberry Jam,,3,1,,,,,,,,,,,
,,,,,Blackberry Jam,,3,1,,,,,,,,,,,
,,,,,Cherry Jam,,3,1,,,,,,,,,,,
,,,,,Strawberry Jam,,3,1,,,,,,,,,,,
MediumPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_02,FreeDiamonds,Prize2,10,10,20,2,2,TreasureBox,TID_GIFT_M_TITLE,TID_GIFT_M_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Tortoise,Prize1,1,15,,,,,,,,,,,
,,,,,Axe,,4,5,,,,,,,,,,,
,,,,,Saw,,4,5,,,,,,,,,,,
,,,,,Shovel,,4,5,,,,,,,,,,,
,,,,,Dynamite,,4,5,,,,,,,,,,,
,,,,,Demolition Charge,,4,5,,,,,,,,,,,
,,,,,Pickaxe,,4,5,,,,,,,,,,,
,,,,,Plank,,2,4,,,,,,,,,,,
,,,,,Nail,,2,4,,,,,,,,,,,
,,,,,Bolt,,2,4,,,,,,,,,,,
,,,,,Screw,,2,4,,,,,,,,,,,
,,,,,Duct Tape,,2,4,,,,,,,,,,,
,,,,,Wood Panel,,2,4,,,,,,,,,,,
,,,,,Land Deed,,2,4,,,,,,,,,,,
,,,,,Mallet,,2,4,,,,,,,,,,,
,,,,,Marker Stake,,2,4,,,,,,,,,,,
,,,,,Hammer,,2,1,,,,,,,,,,,
,,,,,Hand Drill,,2,1,,,,,,,,,,,
,,,,,Paint Bucket,,2,1,,,,,,,,,,,
,,,,,Stone Block,,2,1,,,,,,,,,,,
,,,,,Brick,,2,1,,,,,,,,,,,
,,,,,Tar Bucket,,2,1,,,,,,,,,,,
,,,,,Voucher1,,2,4,,,,,,,,,,,
,,,,,Voucher2,,2,4,,,,,,,,,,,
,,,,,Voucher3,,2,4,,,,,,,,,,,
,,,,,Voucher4,,2,4,,,,,,,,,,,
,,,,,Brown_Sugar,,6,1,,,,,,,,,,,
,,,,,White Sugar,,6,1,,,,,,,,,,,
,,,,,Syrup,,6,1,,,,,,,,,,,
,,,,,Chocolate,,6,1,,,,,,,,,,,
,,,,,Lollipop,,6,1,,,,,,,,,,,
,,,,,Jelly Beans,,6,1,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,6,1,,,,,,,,,,,
,,,,,Cherry Popsicle,,6,1,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,6,1,,,,,,,,,,,
,,,,,Chocolate Ice Cream,,6,1,,,,,,,,,,,
,,,,,Apple Jam,,6,1,,,,,,,,,,,
,,,,,Raspberry Jam,,6,1,,,,,,,,,,,
,,,,,Blackberry Jam,,6,1,,,,,,,,,,,
,,,,,Cherry Jam,,6,1,,,,,,,,,,,
,,,,,Strawberry Jam,,6,1,,,,,,,,,,,
BigPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_03,FreeDiamonds,Prize2,15,10,30,2,2,TreasureBox,TID_GIFT_L_TITLE,TID_GIFT_L_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,GardenBoyStatue,Prize1,1,15,,,,,,,,,,,
,,,,,Axe,,7,5,,,,,,,,,,,
,,,,,Saw,,7,5,,,,,,,,,,,
,,,,,Shovel,,7,5,,,,,,,,,,,
,,,,,Dynamite,,7,5,,,,,,,,,,,
,,,,,Demolition Charge,,7,5,,,,,,,,,,,
,,,,,Pickaxe,,7,5,,,,,,,,,,,
,,,,,Plank,,4,4,,,,,,,,,,,
,,,,,Nail,,4,4,,,,,,,,,,,
,,,,,Bolt,,4,4,,,,,,,,,,,
,,,,,Screw,,4,4,,,,,,,,,,,
,,,,,Duct Tape,,4,4,,,,,,,,,,,
,,,,,Wood Panel,,4,4,,,,,,,,,,,
,,,,,Land Deed,,4,4,,,,,,,,,,,
,,,,,Mallet,,4,4,,,,,,,,,,,
,,,,,Marker Stake,,4,4,,,,,,,,,,,
,,,,,Hammer,,4,1,,,,,,,,,,,
,,,,,Hand Drill,,4,1,,,,,,,,,,,
,,,,,Paint Bucket,,4,1,,,,,,,,,,,
,,,,,Stone Block,,4,1,,,,,,,,,,,
,,,,,Brick,,4,1,,,,,,,,,,,
,,,,,Tar Bucket,,4,1,,,,,,,,,,,
,,,,,Voucher1,,3,4,,,,,,,,,,,
,,,,,Voucher2,,3,4,,,,,,,,,,,
,,,,,Voucher3,,3,4,,,,,,,,,,,
,,,,,Voucher4,,3,4,,,,,,,,,,,
,,,,,Brown_Sugar,,10,1,,,,,,,,,,,
,,,,,White Sugar,,10,1,,,,,,,,,,,
,,,,,Syrup,,10,1,,,,,,,,,,,
,,,,,Chocolate,,10,1,,,,,,,,,,,
,,,,,Lollipop,,10,1,,,,,,,,,,,
,,,,,Jelly Beans,,10,1,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,10,1,,,,,,,,,,,
,,,,,Cherry Popsicle,,10,1,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,10,1,,,,,,,,,,,
