TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,107,107,107,1007,1007,1007,1007,1009,1007,1007,1007,1107,1107,1107,2607,2607,2607,2607,2609,2607,2607,2607,2707,2709,2708,2707,2707,2707,2708,2809,2807,2807,2807,2808,2809,3007,3008
,0,,5,,,,,,,,,6,,,,,,,,,,,6,,,,5,,,,,,107,107,107,107,107,1007,1007,1007,1007,1009,1007,1007,1007,1107,1107,1107,2609,2607,2608,2608,2607,2607,2608,2607,2707,2707,2707,2709,2708,2707,2707,2807,2808,2807,2809,2808,2807,3008,3007
,0,,,,,,,,,,,,,,,,6,,,,,,,6,,,,,5,,,,107,109,107,107,108,1008,1009,1008,1007,1008,1007,1007,1007,1107,1109,1107,2607,2607,2607,2607,2607,2607,2607,2607,2709,2707,2707,2707,2707,2707,2709,2807,2809,2807,2807,2807,2808,3007,3007
,0,5,,,,,,,,,,,,,5,,,,5,,,,,,,5,,,,,,,107,107,109,107,107,1007,1007,1007,1009,1007,1007,1007,1007,1107,1107,1107,2607,2607,2607,2607,2607,2607,2609,2607,2707,2708,2709,2707,2709,2708,2707,2808,2807,2808,2807,2809,2807,3007,3009
,0,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,6,,107,107,107,107,108,1008,1007,1007,1007,1009,1007,1007,1007,1107,1107,1109,2607,2607,2607,1807,1807,1809,1807,1807,2707,2709,2707,2707,2707,2707,2707,2807,2807,2807,2807,2808,2807,3007,3007
,0,,5,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,6,207,207,207,207,207,207,207,1107,1107,1107,1107,1109,1107,1107,1107,1107,2607,2607,2607,1807,1807,1807,1807,1809,2707,2707,2707,2708,2909,2907,2907,2907,2907,3007,3008,3007,3008,3007,3008
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,208,207,207,207,207,207,207,1107,1107,1107,1107,1109,1107,1107,1107,1107,2607,2607,2607,1807,1809,1807,1807,1807,2708,2707,2707,2707,2907,2907,2909,2908,2907,3008,3009,3007,3007,3007,3007
,0,,,,,,,,6,,,,,,,5,,,,6,,,,,,6,,,,,6,,207,207,207,207,207,207,207,1107,1107,1108,1107,1107,1107,1108,1107,1107,1907,1907,1907,1907,1908,1807,1807,1807,2707,2708,2709,2707,2907,2907,2908,2907,2909,3007,3007,3008,3009,3007,3008
,0,,,5,,,,,,,,6,,,,,,,,,,,,5,,,,,,,,,309,307,307,307,207,207,207,1108,1107,1107,1207,1207,1209,1207,1207,1207,1909,1907,1907,1907,1908,1807,1807,1807,2707,2707,2707,2708,2908,2907,2907,2907,2907,3007,3007,3007,3007,3009,3007
,0,,,,,,,,,,5,5,,,5,,,,,,,,6,6,,,5,,,,,,308,307,308,307,207,207,207,1107,1107,1107,1207,1209,1208,1207,1207,1207,1909,1908,1909,1907,1909,1807,1808,1807,2709,2707,2708,2707,2907,2909,2907,2907,2908,3009,3008,3007,3007,3008,3009
,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,307,308,307,307,209,207,207,1109,1107,1107,1207,1207,1207,1207,1207,1209,1908,1907,1907,1907,1907,1807,1807,1807,3207,3207,3207,3209,2908,2907,2909,2907,2907,3007,3007,3007,3007,3007,3008
,0,,,,6,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,308,307,309,307,207,207,207,1107,1107,1107,1207,1208,1207,1507,1507,1507,1907,1907,1909,1909,1907,1807,1807,1807,3207,3208,3207,3207,3209,3207,3207,3109,3107,3107,3108,3107,3107,3108,3109
,0,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,407,409,409,407,407,407,407,1307,1307,1307,1307,1307,1307,1507,1507,1507,2007,2007,2007,2009,2007,2009,2007,2009,3208,3209,3207,3207,3208,3207,3209,3107,3108,3109,3107,3108,3107,3107,3107
,0,6,,,,,,,,,,,,,,,,6,,,,5,,,,5,,,,,,,407,407,409,407,409,407,407,1307,1309,1307,1307,1307,1307,1509,1507,1507,2008,2007,2009,2008,2007,2007,2007,2007,3207,3207,3207,3208,3207,3208,3207,3107,3107,3107,3107,3107,3108,3107,3108
,0,,,,,,,,,,,5,,5,,,,,,,,,6,,,,5,,,,,,407,407,407,407,407,407,409,1307,1307,1308,1307,1307,1307,1507,1507,1507,2007,2007,2007,2007,2007,2009,2009,2008,3209,3207,3209,3207,3207,3207,3207,3407,3407,3407,3407,3407,3407,3407,3407
,0,,,5,,5,,,,,5,6,,,,,,,,,,,,5,,,,,,,,5,508,508,507,507,507,507,507,1307,1307,1308,1507,1507,1509,1507,1508,1507,2007,2007,2007,2007,2109,2107,2107,2109,3207,3207,3207,3307,3307,3308,3307,3407,3408,3407,3407,3408,3407,3407,3408
,0,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,507,507,507,507,507,509,509,1307,1307,1307,1507,1509,1509,1507,1507,1507,2008,2008,2007,2007,2107,2107,2109,2107,3209,3208,3207,3308,3307,3307,3307,3408,3407,3408,3407,3407,3408,3408,3407
,0,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,507,507,507,509,507,507,507,1307,1307,1307,1507,1507,1507,1507,1507,1507,2007,2007,2007,2009,2107,2109,2107,2107,3208,3209,3207,3307,3308,3307,3308,3407,3407,3407,3407,3407,3407,3407,3407
,0,,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,607,607,607,607,607,607,607,1307,1307,1307,1307,1308,1307,1507,1507,1507,2207,2207,2207,2207,2107,2109,2107,2107,3207,3207,3207,3307,3307,3309,3307,3407,3408,3407,3408,3407,3407,3407,3408
,0,,,,,,,,5,,,,,,,,3,2,4,,,,,,,,5,,,,,,607,609,607,607,607,607,607,1307,1307,1307,1307,1307,1309,1507,1507,1508,2207,2207,2207,2207,2107,2107,2107,2107,3507,3507,3508,3309,3307,3307,3307,3407,3407,3407,3407,3407,3407,3408,3407
,0,,,,,,,,,,,,,,,,3,2,4,,,,,,,6,,,,6,,,607,607,609,607,607,607,607,1307,1309,1307,1308,1307,1307,1507,1507,1507,2207,2207,2207,2207,2107,2108,2107,2107,3507,3509,3507,3507,3507,3507,3507,3507,3508,3408,3407,3408,3407,3407,3407
,0,,,,,5,,,,,,,,,,,3,2,4,5,,6,,,,,,,,,,,707,707,707,707,707,707,707,1409,1407,1408,1407,1407,1408,1507,1507,1507,2207,2209,2207,2407,2407,2409,2407,2407,3508,3507,3509,3507,3508,3508,3507,3507,3507,3407,3408,3407,3407,3407,3407
,0,,,,,,,,,,,5,,,,,3,2,4,6,,5,,,,,,,,,,,707,709,709,709,709,708,709,1407,1407,1407,1407,1407,1407,1507,1507,1509,2207,2208,2207,2407,2409,2407,2407,2407,3509,3508,3507,3507,3507,3509,3509,3509,3508,3607,3607,3607,3607,3607,3607
