Name,Right,TID,DescriptionTID
String,String,String,String
Leader,KickOutMember,TID_NEIGHBORHOOD_LEADER,TID_NEIGHBORHOOD_LEADER_DESCRIPTION
,PromoteMember,,
,DemoteMember,,
,InviteMember,,
,AcceptMember,,
,EditNeighborhoodSettings,,
,DiscardDerbyTask,,
CoLeader,KickOutMember,TID_NEIGHBORHOOD_CO_LEADER,TID_NEIGHBORHOOD_CO_LEADER_DESCRIPTION
,PromoteMember,,
,DemoteMember,,
,InviteMember,,
,AcceptMember,,
,EditNeighborhoodSettings,,
,DiscardDerbyTask,,
Admin,InviteMember,TID_NEIGHBORHOOD_ADMIN,TID_NEIGHBORHOOD_ADMIN_DESCRIPTION
,AcceptMember,,
,DiscardDerbyTask,,
Member,,TID_NEIGHBORHOOD_MEMBER,TID_NEIGHBORHOOD_MEMBER_DESCRIPTION
