Name,TaskType,TID,DescriptionTID,IconTooltipTID,ExportName,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeight,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown
String,String,String,String,String,String,int,int,boolean,int,int,int,String,String,String,int,int,int,int,int,int,int
HarvestCropEasyWheat,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,77,161,,18,6,0,Wheat,,,50,90,158,166,1800,1800,5
HarvestCropEasyCorn,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,61,121,,18,6,0,Corn,,,50,90,170,180,1800,1800,5
HarvestCropEasySoybean,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,47,87,,18,6,0,Soybean,,,50,90,190,230,1800,1800,5
HarvestCropEasySugarcane,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,44,80,,18,6,0,Sugarcane,,,50,90,210,270,1800,1800,5
HarvestCropEasyCarrot,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,53,101,,18,6,0,Carrot,,,50,90,190,210,1800,1800,5
HarvestCropEasyIndigo,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,39,66,,18,6,0,Indigo,,,50,90,390,630,1800,1800,5
HarvestCropEasyPumpkin,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,38,64,,18,6,0,Pumpkin,,,50,90,510,870,1800,1800,5
HarvestCropEasyCotton,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,38,65,,18,6,0,Cotton,,,50,90,450,750,1800,1800,5
HarvestCropEasyChili,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,37,62,,25,6,0,Chili,,,50,90,630,1110,1800,1800,5
HarvestCropEasyTomato,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,36,60,,30,6,0,Tomato,,,50,90,870,1590,1800,1800,5
HarvestCropEasyStrawberry,HarvestCrop,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,36,59,,34,6,0,Strawberry,,,50,90,1110,2070,1800,1800,5
