TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,1119,1117,1117,1117,1119,1117,1117,1017,1017,1017,917,917,917,917,917,918,917,917,1817,1817,1817,1717,1717,1717,1617,1617,1617,1617,1617,1617,1617,1617
,1117,1117,1117,1117,1119,1117,1118,1017,1018,1017,919,919,917,917,917,917,917,917,1817,1817,1817,1717,1717,1717,1617,1617,1617,1617,1617,1617,1618,1617
,1117,1117,1117,1117,1117,1117,1119,1019,1017,1017,917,917,917,917,917,917,919,919,1819,1817,1818,1717,1717,1719,1617,1617,1617,1617,1617,1619,1617,1617
,717,717,717,719,1117,1117,1118,1019,1017,1019,917,917,917,1817,1817,1817,1817,1818,1817,1817,1817,1717,1717,1717,1717,1719,1719,1717,1717,1617,1617,1619
,717,717,719,717,1117,1117,1117,1017,1018,1017,917,917,919,1817,1819,1817,1817,1818,1818,1817,1817,1717,1717,1717,1717,1717,1717,1717,1717,1617,1617,1617
,719,717,717,717,1117,1118,1117,1018,1017,1017,917,917,917,1817,1817,1817,1817,1817,1817,1817,1818,1717,1717,1718,1717,1717,1717,1717,1717,1617,1617,1617
,717,718,719,517,517,517,519,1017,1017,1017,14,14,14,14,16,15,14,14,16,14,15,14,14,1717,1717,1717,1717,1717,1717,1619,1617,1618
,717,717,719,517,517,517,519,14,14,15,14,15,15,14,14,14,14,15,14,14,14,14,14,16,14,14,1517,1517,1517,1517,1519,1517
,717,718,717,519,519,517,517,14,16,14,14,14,14,14,16,14,14,14,14,14,14,15,14,14,14,16,1517,1517,1519,1517,1519,1517
,717,718,717,517,518,517,16,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,1519,1519,1517,1517,1517,1519
,718,717,717,517,517,517,15,14,14,14,14,14,14,14,14,15,14,16,16,14,14,14,14,14,14,14,1517,1517,1517,1517,1517,1517
,717,718,717,518,517,519,14,14,14,14,16,14,14,14,14,14,14,14,14,16,14,14,14,14,14,14,1418,1417,1419,1518,1518,1517
,117,117,117,117,117,119,14,15,14,14,14,14,16,16,14,14,14,14,14,14,14,16,14,14,14,14,1417,1417,1417,1519,1517,1517
,117,117,118,119,117,117,14,14,16,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,1417,1417,1417,1417,1417,1417
,117,117,117,117,117,117,14,14,14,14,15,14,14,14,14,14,14,14,14,15,14,16,14,14,14,14,1417,1417,1419,1417,1419,1417
,118,117,117,217,217,217,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,1417,1417,1417,1417,1417,1417
,117,117,117,218,217,219,14,14,14,14,16,14,16,14,14,14,14,14,14,14,14,14,14,14,16,14,1417,1418,1417,1417,1417,1417
,217,217,217,217,217,217,14,14,14,14,14,15,14,14,16,16,14,14,14,15,14,14,14,14,16,14,14,27,27,27,27,27
,219,217,217,217,217,217,14,14,14,14,14,14,14,16,14,14,14,14,14,14,15,14,14,14,14,14,14,26,26,26,26,26
,217,217,217,217,217,218,14,14,14,14,14,15,14,34,34,34,14,15,14,14,14,14,14,14,14,14,16,28,28,28,28,28
,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,33,31,31,31,31,31,31,31,31,31,28,28,28,28,28,28,28
,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,32,27,30,30,30,30,30,30,30,30,27,27,27,27,27,27,27
,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
,336,336,336,336,336,336,336,636,636,636,436,436,436,35,35,35,836,836,836,836,836,836,836,1236,1236,1236,1336,1336,1336,1336,1336,1336
,336,336,336,336,336,336,336,636,636,636,436,436,436,436,436,836,836,836,836,836,836,836,836,1236,1236,1236,1336,1336,1336,1336,1336,1336
,336,336,336,336,336,336,336,636,636,636,436,436,436,436,436,836,836,836,836,836,836,836,836,1236,1236,1236,1336,1336,1336,1336,1336,1336
